,重点符号,序号,英文原型,词性,中文释义,音标
59,*,4.0,officer,n.,公务员；官员,[ˈɒfɪsə(r)]
60,,5.0,ruler,n.,统治者,[ˈruːlə(r)]
61,,6.0,leader,n.,领袖，领导人,[ˈliːdə(r)]
62,*,7.0,president,n.,总统；主席,[ˈprezɪdənt]
63,,8.0,king,n.,国王,[kɪŋ]
64,*,9.0,queen,n.,皇后；女王,[kwiːn]
65,*,10.0,secretary,n.,秘书；书记,[ˈsekrətri]
66,,11.0,speaker,n.,演讲人，演说家,[ˈspiːkə(r)]
67,*,12.0,chairman,n.,主席，会长；议长,[ˈtʃeəmən]
68,*,13.0,chairwoman,n.,女主席；女会长；女议长,[ˈtʃeəwʊmən]
69,*,14.0,policy,n.,政策，方针,[ˈpɒləsi]
70,,1.0,education,n.,教育，培养,[ˌedʒuˈkeɪʃn]
71,*,2.0,medical,adj.,医学的，医疗的,[ˈmedɪkl]
72,*,3.0,treatment,n.,治疗，疗法,[ˈtriːtmənt]
73,*,4.0,operation,n.,手术，操作,[ˌɒpəˈreɪʃn]
74,,5.0,medicine,n.,药,[ˈmedsn]
75,*,6.0,doctor,n.,医生；大夫,[ˈdɒktə(r)]
76,,7.0,nurse,n.,护士；保育员,[nɜːs]
77,,8.0,dentist,n.,牙医,[ˈdentɪst]
78,,9.0,patient,n.,病人,[ˈpeɪʃnt]
79,,1.0,countryside,n.,农村；乡下,[ˈkʌntrisaɪd]
80,,2.0,village,n.,村庄；乡村,[ˈvɪlɪdʒ]
81,,3.0,farm,n.,农场；农庄,[fɑːm]
82,,4.0,farmer,n.,农民,[ˈfɑːmə(r)]
83,,5.0,field,n.,田地；牧场；场地,[fiːld]
84,,6.0,business,n.,生意；交易；事业,[ˈbɪznəs]
85,*,7.0,boss,n.,老板；领班,[bɒs]
86,*,8.0,industry,n.,工业，产业,[ˈɪndəstri]
87,,9.0,company,n.,公司,[ˈkʌmpəni]
88,,10.0,shop,n.,商店，车间,[ʃɒp]
89,,11.0,market,n.,市场；集市,[ˈmɑːkɪt]
90,,12.0,supermarket,n.,超级市场,[ˈsuːpəmɑːkɪt]
91,,13.0,factory,n.,工厂,[ˈfæktri]
92,,14.0,set,n.,装备；设备,[set]
93,,15.0,sign,n.,记号；标记；招牌符号,[saɪn]
94,*,16.0,manage,v.,设法对付;管理,[ˈmænɪdʒ]
95,,17.0,produce,v.,生产；制造,"[prəˈdjuːs , ˈprɒdjuːs]"
96,,18.0,instruction,n.,说明；须知；教导,[ɪnˈstrʌkʃn]
97,,19.0,meeting,n.,会；集会；会见；会合点,[ˈmiːtɪŋ]
98,,20.0,work,v.,工作；（机器、器官等）运转；活动,[wɜːk]
99,,21.0,worker,n.,工人；工作者,[ˈwɜːkə(r)]
100,,22.0,manager,n.,经理,[ˈmænɪdʒə(r)]
101,,23.0,robot,n.,机器人,[ˈrəʊbɒt]
102,*,24.0,fisherman,n.,渔民；钓鱼者,[ˈfɪʃəmən]
103,*,25.0,servant,n.,仆人，佣人,[ˈsɜːvənt]
104,,1.0,soldier,n.,士兵；战士,[ˈsəʊldʒə(r)]
105,*,2.0,army,n.,军队,[ˈɑːmi]
106,*,3.0,enemy,n.,敌人；敌军,[ˈenəmi]
107,*,4.0,gun,n.,枪,[ɡʌn]
108,,5.0,police,n.,警察；警务人员,[pəˈliːs]
109,,6.0,policeman ,n.,（男）警察；（男）巡警,[pəˈliːsmən]
110,,7.0,policewoman ,n.,（女）警察；（女）巡警,[pəˈliːswʊmən]
111,*,8.0,guard,n.,保卫；警戒,[ɡɑːd]
112,,9.0,postman,n.,邮递员,[ˈpəʊstmən]
113,,10.0,law,n.,法律，法令、定律,[lɔː]
114,,11.0,right,n.,权利,[raɪt]
115,*,12.0,fair,adj.,公平的；合理的,[feə(r)]
116,,13.0,kill,v.,杀死；弄死,[kɪl]
117,*,14.0,punish,v.,惩罚；处罚,[ˈpʌnɪʃ]
118,,15.0,warn,v.,警告；预先通知,[wɔːn]
119,,16.0,break,v.,打破（断，碎）；损坏；撕开,[breɪk]
120,,17.0,fight,n.&v.,打架（仗）,[faɪt]
121,,18.0,act,n.,法令；条例,[ækt]
122,*,19.0,murder,v.,谋杀,[ˈmɜːdə(r)]
123,*,20.0,prison,n.,监狱,[ˈprɪzn]
124,*,21.0,prisoner,n.,囚犯,[ˈprɪznə(r)]
125,,1.0,director,n.,导演,[dəˈrektə(r)]
126,,2.0,singer,n.,歌手；歌唱家,[ˈsɪŋə(r)]
127,,1.0,family,n.,家庭；家族；子女,[ˈfæməli]
128,*,2.0,couple,n.,夫妻；一对,[ˈkʌpl]
129,,3.0,parent,n.,父（母）亲,[ˈpeərənt]
130,,4.0,grandparent,n.,祖父（母）；外祖父（母）,[ˈɡrænpeərənt]
131,,5.0,grandpa,n.,爷爷；外公,[ˈɡrænpɑː]
132,,6.0,grandma,n.,奶奶；外婆,[ˈɡrænmɑː]
133,*,7.0,grandchild,n.,(外)孙或孙女；孙辈,[ˈɡræntʃaɪld]
134,,8.0,granddaughter,n.,(外)孙女,[ˈɡrændɔːtə(r)]
135,,9.0,father,n.,父亲,[ˈfɑːðə(r)]
136,,10.0,dad,n.,(口语)爸爸；爹爹,[dæd]
137,,11.0,mother,n.,母亲,[ˈmʌðə(r)]
138,,12.0,uncle,n.,叔；伯；舅；姑父；姨父,[ˈʌŋkl]
139,,13.0,aunt,n.,伯母；舅母；婶；姑；姨,[ɑːnt]
140,,14.0,brother,n.,兄；弟,[ˈbrʌðə(r)]
141,,15.0,sister,n.,姐；妹,[ˈsɪstə(r)]
142,,16.0,son,n.,儿子,[sʌn]
143,,17.0,daughter,n.,女儿,[ˈdɔːtə(r)]
144,,18.0,cousin,n.,堂（表）兄弟；堂（表）姐妹,[ˈkʌzn]
145,,19.0,wife,n.,妻子,[waɪf]
146,,20.0,husband,n.,丈夫,[ˈhʌzbənd]
147,,21.0,raise,v.,（饲）养,[reɪz]
148,,23.0,marry,v.,（使）成婚；结婚,[ˈmæri]
149,,24.0,friend,n.,朋友,[frend]
150,,25.0,friendship,n.,友谊，友情,[ˈfrendʃɪp]
151,*,26.0,granny,n.,老奶奶；祖母；外婆,[ˈɡræni]
152,*,27.0,marriage,n.,结婚，婚姻,[ˈmærɪdʒ]
153,,1.0,human,n.,人类,[ˈhjuːmən]
154,,2.0,people,n.,人们；人；人民,[ˈpiːpl]
155,,3.0,person,n.,人,[ˈpɜːsn]
156,,4.0,gentleman,n.,绅士；先生；有身份、有教养的人,[ˈdʒentlmən]
157,*,5.0,stranger,n.,陌生人，外人,[ˈstreɪndʒə(r)]
158,,6.0,hero,n.,英雄；勇士；男主角,[ˈhɪərəʊ]
159,,7.0,pioneer,n.,先锋；开拓者,[ˌpaɪəˈnɪə(r)]
160,,8.0,classmate,n.,同班同学,[ˈklɑːsmeɪt]
161,,9.0,neighbour,n.,邻居；邻人,[ˈneɪbə(r)]
162,,10.0,child,n.,孩子；儿童,[tʃaɪld]
163,,11.0,woman,n.,妇女，女人,[ˈwʊmən]
164,,12.0,man,n.,成年男人；人，人类,[mæn]
165,,13.0,girl,n.,女孩,[ɡɜːl]
166,,14.0,boy,n.,男孩,[bɔɪ]
167,,15.0,kid,n.,小孩,[kɪd]
168,,16.0,baby,n.,婴儿,[ˈbeɪbi]
169,*,17.0,elder,n.,长辈；前辈,[ˈeldə(r)]
170,,18.0,lady,n.,女士，夫人,[ˈleɪdi]
171,,19.0,Miss,n.,小姐；女士（称呼未婚女性）,[mɪs]
172,,20.0,guest,n.,客人；宾客,[ɡest]
173,,21.0,member,n.,成员；会员,[ˈmembə(r)]
174,,22.0,single,adj.,单一的；单个的,[ˈsɪŋɡl]
175,*,23.0,god,n.,神，（大写）上帝,[ɡɒd]
176,,24.0,madam,n.,夫人，女士,[ˈmædəm]
177,,25.0,Mr,n.,先生（用于姓名前）,[ˈmɪstə(r)]
178,,26.0,Mrs,n.,夫人，太太（称呼已婚妇女）,[ˈmɪsɪz]
179,,27.0,Ms,n.,女士（用在婚姻状况不明的女子姓名前）,[ˌem ˈes]
180,,28.0,sir,n.,先生；阁下,[sɜː(r)]
181,,1.0,home,n.,家 adv. 回家;到家,[həʊm]
182,,2.0,hometown,n.,故乡,[ˈhəʊmtaʊn]
183,,3.0,house,n.,房子；住宅,"[haʊs , haʊz]"
184,*,4.0,flat,n.,公寓（常用复数）；楼中一间房间,[flæt]
185,,5.0,address,n.,地址,[əˈdres]
186,,6.0,yard,n.,院子；码；场地,[jɑːd]
187,,7.0,door,n.,门,[dɔː(r)]
188,,8.0,window,n.,窗户；计算机的窗口,[ˈwɪndəʊ]
189,,9.0,glass,n.,玻璃；（复）眼镜；玻璃杯,[ɡlɑːs]
190,,10.0,gate,n.,大门,[ɡeɪt]
191,,11.0,floor,n.,地板；地面；（楼房的）层,[flɔː(r)]
192,,12.0,garden,n.,花园；果园；菜园,[ˈɡɑːdn]
193,*,13.0,stairs,n.,楼梯,[steəz]
194,,14.0,wall,n.,墙,[wɔːl]
195,,15.0,room,n.,房间，室；空间,[ruːm]
196,*,16.0,bathroom,n.,浴室；盥洗室,[ˈbɑːθruːm]
197,,17.0,bedroom,n.,卧室；寝室,[ˈbedruːm]
198,,18.0,kitchen,n.,厨房,[ˈkɪtʃɪn]
199,,19.0,study,n.,书房,[ˈstʌdi]
200,*,20.0,ceiling,n.,天花板；顶棚,[ˈsiːlɪŋ]
201,,21.0,place,n.,地方，处所,[pleɪs]
202,,1.0,town,n.,城镇,[taʊn]
203,,2.0,building,n.,建筑物；大楼，房屋,[ˈbɪldɪŋ]
204,,3.0,road,n.,道路，路,[rəʊd]
205,,4.0,street,n.,街道，街,[striːt]
206,,5.0,corner,n.,角落；角；拐角,[ˈkɔːnə(r)]
207,,6.0,bridge,n.,桥,[brɪdʒ]
208,*,7.0,church,n.,教堂；教会,[tʃɜːtʃ]
209,,8.0,museum,n.,博物馆，博物院,[mjuˈziːəm]
210,*,9.0,gym,n.,体育馆；健身房；体操,[dʒɪm]
211,,10.0,hospital,n.,医院,[ˈhɒspɪtl]
212,,11.0,toilet,n.,厕所,[ˈtɔɪlət]
213,,12.0,hotel,n.,旅馆，饭店，宾馆,[həʊˈtel]
214,,13.0,library,n.,图书馆，图书室,[ˈlaɪbrəri]
215,,14.0,park,n.,公园 v.停放（汽车）,[pɑːk]
216,,15.0,zoo,n.,动物园,[zuː]
217,,16.0,cinema,n.,电影院；电影,[ˈsɪnəmə]
218,,17.0,theatre,n.,剧场；戏院,[ˈθɪətə(r)]
219,,18.0,club,n.,俱乐部,[klʌb]
220,,19.0,restaurant,n.,饭馆；饭店,[ˈrestrɒnt]
221,,20.0,hall,n.,大厅；礼堂,[hɔːl]
222,,21.0,square,n.,广场,[skweə(r)]
223,,22.0,store,n.,商店,[stɔː(r)]
224,*,23.0,tower,n.,塔,[ˈtaʊə(r)]
225,,24.0,palace,n.,宫殿，宫,[ˈpæləs]
226,,1.0,live,v.,生活；居住；活着,"[lɪv , laɪv]"
227,,2.0,life,n.,生活；生命；生涯；人生；生物,[laɪf]
228,,3.0,meal,n.,一餐（饭）,[miːl]
229,,4.0,eat,v.,"(ate, eaten)吃",[iːt]
230,,6.0,order,v.,定购,[ˈɔːdə(r)]
231,,7.0,wake,v.,"（woke, woken）醒来；叫醒，醒",[weɪk]
232,*,8.0,awake,adj.,"醒着的 v. (awoke, awoken)唤醒",[əˈweɪk]
233,,9.0,sleep,v.,"(slept, slept)睡觉 n. 睡觉",[sliːp]
234,,10.0,wear,v.,"（wore, worn）穿；戴",[weə(r)]
235,,11.0,store,v.,存储，储藏,[stɔː(r)]
236,,12.0,repair,v.&n.,修理，修补,[rɪˈpeə(r)]
237,,13.0,fix,v.,修理；安装；确定，决定,[fɪks]
238,,14.0,habit,n.,习惯，习性,[ˈhæbɪt]
239,,15.0,burn,v.,"(-ed, -ed 或 burnt, burnt)燃，烧，着火；使烧焦；使晒黑",[bɜːn]
240,,1.0,handbag,n.,手提袋,[ˈhændbæɡ]
241,,2.0,purse,n.,钱包,[pɜːs]
242,,3.0,lock,v.,锁，锁上 n. 锁,[lɒk]
243,,4.0,key,n.,钥匙,[kiː]
244,,5.0,line,n.,绳索，线，排，行，线路,[laɪn]
245,,6.0,basket,n.,篮子,[ˈbɑːskɪt]
246,,7.0,camera,n.,照相机；摄像机,[ˈkæmərə]
247,,8.0,fire,n.,火；火炉,[ˈfaɪə(r)]
248,,9.0,candle,n.,蜡烛,[ˈkændl]
249,*,10.0,soap,n.,肥皂,[səʊp]
250,,11.0,brush,n.,刷子 v.刷；擦,[brʌʃ]
251,,12.0,watch,n.,手表,[wɒtʃ]
252,,13.0,clock,n.,钟,[klɒk]
253,,14.0,tool,n.,工具,[tuːl]
254,,15.0,card,n.,名片；纸牌；卡片,[kɑːd]
255,,16.0,stamp,n.,邮票,[stæmp]
256,,17.0,diary,n.,日记；日记簿,[ˈdaɪəri]
257,,18.0,doll,n.,玩偶,[dɒl]
258,,19.0,toy,n.,玩具,[tɔɪ]
259,,20.0,umbrella,n.,雨伞,[ʌmˈbrelə]
260,,21.0,match,n.,火柴,[mætʃ]
261,*,22.0,rope,n.,绳子,[rəʊp]
262,,23.0,photo,n.,照片,[ˈfəʊtəʊ]
263,,24.0,safe,n.,保险箱,[seɪf]
264,,25.0,litter,n.,杂物,[ˈlɪtə(r)]
265,,26.0,circle,n.&v.,圆圈;将……圈起来,[ˈsɜːkl]
266,,27.0,cover,n.,盖子；罩,[ˈkʌvə(r)]
267,*,28.0,electric,adj.,电的,[ɪˈlektrɪk]
268,,29.0,glove,n.,手套,[ɡlʌv]
269,*,30.0,thread,n.,线,[θred]
270,*,31.0,toothbrush,n.,牙刷,[ˈtuːθbrʌʃ]
271,*,32.0,toothpaste,n.,牙膏,[ˈtuːθpeɪst]
272,*,33.0,towel,n.,毛巾,[ˈtaʊəl]
273,,1.0,bed,n.,床,[bed]
274,,2.0,chair,n.,椅子,[tʃeə(r)]
275,*,3.0,sofa,n.,（长）沙发,[ˈsəʊfə]
276,,4.0,table,n.,桌子，表格,[ˈteɪbl]
277,,5.0,desk,n.,书桌，写字台,[desk]
278,,6.0,fridge,n.,冰箱,[frɪdʒ]
279,,7.0,record,n.,记录；唱片,"[ˈrekɔːd , rɪˈkɔːd]"
280,*,8.0,recorder,n.,录音机,[rɪˈkɔːdə(r)]
281,,9.0,telephone,n.,电话,[ˈtelɪfəʊn]
282,,10.0,TV,n.,电视,[ˌtiː ˈviː]
283,,11.0,video,n.,录像，视频,[ˈvɪdiəʊ]
284,,12.0,fan,n.,风扇；（电影，运动等）迷；热心的爱好者（支持者）,[fæn]
285,*,13.0,drawer,n.,抽屉,[drɔː(r)]
286,*,14.0,furniture,n.,（总称）家具,[ˈfɜːnɪtʃə(r)]
287,*,15.0,iron,n.,铁，熨斗；v.熨烫,[ˈaɪən]
288,*,16.0,mirror,n.,镜子,[ˈmɪrə(r)]
289,,1.0,action,n.,行动,[ˈækʃn]
290,,2.0,let,v.,让,[let]
291,,3.0,do,v.,做，干（用以构成疑问句及否定句，第三人称单数现在时用,"[duː , də , dəʊ]"
292,,4.0,use,v.,利用，使用,"[juːz , juːs]"
293,,5.0,blow,v.,吹；刮风；吹气,[bləʊ]
294,*,6.0,nod,v.,点头,[nɒd]
295,*,7.0,shake,v.,（使）动摇，震动,[ʃeɪk]
296,,8.0,see,v.,看到，看见；领会；拜见,[siː]
297,,9.0,look,v.,看，观看,[lʊk]
298,,10.0,watch,v.,观看，注视；当心；注意,[wɒtʃ]
299,,11.0,notice,v.,注意到，注意,[ˈnəʊtɪs]
300,,12.0,guess,v.,猜,[ɡes]
301,,13.0,suppose,v.,猜想，假定，料想,[səˈpəʊz]
302,,14.0,listen,v.,听，仔细听,[ˈlɪsn]
303,,15.0,hear,v.,听见；听说，得知,[hɪə(r)]
304,,16.0,feel,v.,感觉；觉得；摸起来，摸，触,[fiːl]
305,,17.0,sound,v.,发出声音;听起来 n. 声音,[saʊnd]
306,,18.0,read,v.,读；朗读,"[riːd , red]"
307,,19.0,shout,v.,喊，高声呼喊,[ʃaʊt]
308,,20.0,chat,v.&n.,聊天；闲聊,[tʃæt]
309,,21.0,taste,v.,品尝，尝味,[teɪst]
310,,22.0,smell,v.,闻到，嗅；发出气味,[smel]
311,,23.0,kiss,v.,吻，接吻,[kɪs]
312,,24.0,pull,v.,拉，拖,[pʊl]
313,,25.0,push,v.,拉，拖，拔，推,[pʊʃ]
314,,26.0,rush,v.,冲；奔，跑,[rʌʃ]
315,*,27.0,touch,v.,接触，触摸,[tʌtʃ]
316,,28.0,wave,v.,波动；起伏；挥手示意,[weɪv]
317,,29.0,lift,v.,举起，抬起,[lɪft]
318,,30.0,open,v.,开，打开,[ˈəʊpən]
319,,31.0,close,v.,关，关闭,"[kləʊz , kləʊs]"
320,,32.0,give,v.,给；递给；付出；给予,[ɡɪv]
321,,33.0,take,v.,拿；拿走；做；服用；乘坐；花费,[teɪk]
322,,34.0,knock,v.,敲，打，击,[nɒk]
323,,35.0,hit,v.,打，击中，撞,[hɪt]
324,,36.0,catch,v.,捉住；接住；赶上；染上（疾病）,[kætʃ]
325,,37.0,hold,v.,握住；拿；抱；举行；进行,[həʊld]
326,,38.0,dig,v.,挖（洞、沟等）；掘,[dɪɡ]
327,,39.0,write,v.,写，书写；写作，著述,[raɪt]
328,,40.0,draw,v.,绘画；绘制，拉，拖；提取（金钱）,[drɔː]
329,*,41.0,paint,v.,涂色于 n. 颜料,[peɪnt]
330,*,42.0,print,v.,印刷,[prɪnt]
331,,43.0,pick,v.,拾起;采集；挑选,[pɪk]
332,*,44.0,steal,v.,偷，窃取,[stiːl]
333,,45.0,put,v.,放，摆,[pʊt]
334,,46.0,fill,v.,装满；填空,[fɪl]
335,,47.0,cut,v.,切，剪，削，割,[kʌt]
336,,48.0,throw,v.,扔，投，掷,[θrəʊ]
337,,49.0,make,v.,制造，做；使得,[meɪk]
338,,50.0,hang,v.,处（人）绞刑；上吊；悬挂，吊着；把……吊起,[hæŋ]
339,,51.0,hide,v.,隐藏，把……藏起来,[haɪd]
340,,52.0,stand,v.,站；立；起立；坐落；经受；持久,[stænd]
341,,53.0,shut,v.,关上；封闭；禁闭,[ʃʌt]
342,*,54.0,separate,v.,使分开，使分离 adj. 分开的，单独的,"[ˈseprət , ˈsepəreɪt]"
343,,55.0,lay,v.,放，搁；产卵下蛋,[leɪ]
344,,56.0,divide,v.,划分，分,[dɪˈvaɪd]
345,*,57.0,direct,v.,指导；监督；管理；指挥（演奏）；导演（电影） adj. 直,[dəˈrekt]
346,*,58.0,control,v.,控制,[kənˈtrəʊl]
347,*,59.0,prepare,v.,准备，预备；调制；配制,[prɪˈpeə(r)]
348,*,60.0,consider,v.,考虑；认为,[kənˈsɪdə(r)]
349,,61.0,collect,v.,收集，搜集,[kəˈlekt]
350,*,62.0,compare,v.,比较，对照,[kəmˈpeə(r)]
351,*,63.0,complete,v.,完成，结束,[kəmˈpliːt]
352,,64.0,know,v.,知道;了解；认识；懂得,[nəʊ]
353,*,65.0,cancel,v.,取消,[ˈkænsl]
354,,66.0,build,v.,建筑；造,[bɪld]
355,,67.0,follow,v.,跟随；仿效；跟得上,[ˈfɒləʊ]
356,,68.0,rest,v.,休息，歇息,[rest]
357,*,69.0,force,v.,强迫，迫使,[fɔːs]
358,,70.0,get,v.,得到；到达；成为；具有,[ɡet]
359,,71.0,hurry,v.,赶快；急忙,[ˈhʌri]
360,,72.0,become,v.,成为；变得,[bɪˈkʌm]
361,,73.0,happen,v.,（偶然）发生,[ˈhæpən]
362,*,74.0,behaviour,n.,行为，举止,[bɪˈheɪvjə(r)]
363,*,75.0,clap,v.,拍手；鼓掌,[klæp]
364,,76.0,connect,v.,连接，把……联系起来,[kəˈnekt]
365,,77.0,describe,v.,描写;叙述,[dɪˈskraɪb]
366,*,78.0,dismiss,v.,让……离开；解雇,[dɪsˈmɪs]
367,*,79.0,disturb,v.,扰乱；打扰,[dɪˈstɜːb]
368,,80.0,enter,v.,进入,[ˈentə(r)]
369,,81.0,grow,v.,"(grew, grown)生长；发育；种植；变成",[ɡrəʊ]
370,,82.0,leave,v.,"(left, left)离开；把……留下，剩下",[liːv]
371,*,83.0,master,v.,精通，掌握,[ˈmɑːstə(r)]
372,*,84.0,prove,v.,证明,[pruːv]
373,*,85.0, regard,v.,把……看作,[rɪˈɡɑːd]
374,,1.0,advantage,n.,优点；好处,[ədˈvɑːntɪdʒ]
375,,2.0,difficult,adj.,难的；艰难的；不易相处的,[ˈdɪfɪkəlt]
376,,3.0,difficulty,n.,困难；费力,[ˈdɪfɪkəlti]
377,,4.0,important,adj.,重要的,[ɪmˈpɔːtnt]
378,,5.0,main,adj.,主要的,[meɪn]
379,*,6.0,avoid,v.,避免，躲开，逃避,[əˈvɔɪd]
380,,7.0,try,v.,试，试图，努力,[traɪ]
381,*,8.0,achieve,v.,达到，取得,[əˈtʃiːv]
382,,9.0,example,n.,例子；榜样,[ɪɡˈzɑːmpl]
383,,10.0,fail,v.,失败,[feɪl]
384,,11.0,succeed,v.,成功,[səkˈsiːd]
385,,12.0,success,n.,成功,[səkˈses]
386,,13.0,successful,adj.,成功的，有成就的,[səkˈsesfl]
387,,14.0,reach,v.,到达，伸手（脚等）够到,[riːtʃ]
388,,15.0,realise ,v.,认识到；实现,[ˈrɪəlaɪz]
389,,16.0,spare,adj.,多余的，剩余的,[speə(r)]
390,,17.0,part,n.,部分,[pɑːt]
391,*,18.0,gesture,n.,姿势；手势,[ˈdʒestʃə(r)]
392,*,19.0,intention,n.,意图，目的,[ɪnˈtenʃn]
393,,1.0,believe,v.,相信，认为,[bɪˈliːv]
394,,2.0,trust,v.,相信，信任，信赖,[trʌst]
395,,3.0,wonder,v.,对……疑惑，感到惊奇；想知道（＝want to know）,[ˈwʌndə(r)]
396,,4.0,sure,adj.,确信，肯定,[ʃʊə(r)]
397,*,5.0,doubt,v.,怀疑，疑惑,[daʊt]
398,,6.0,maybe,adv.,可能，大概，也许,[ˈmeɪbi]
399,,7.0,may,v.,（ modal ）可以；也许，可能,[meɪ]
400,*,8.0,might,v.,(may 的过去式)可能，也许，或许,[maɪt]
401,,9.0,must,v.,（ modal ）必定是；必须，应当,"[mʌst , məst]"
402,,10.0,possible,adj.,可能的,[ˈpɒsəbl]
403,,11.0,impossible,adj.,不可能的,[ɪmˈpɒsəbl]
404,,12.0,perhaps,adv.,可能，或许,[pəˈhæps]
405,,13.0,probably,adv.,很可能，大概,[ˈprɒbəbli]
406,,14.0,certain,adj.,（未指明真实名称的）某……；确实的，无疑的；一定,[ˈsɜːtn]
407,,15.0,chance,n.,机会，可能性,[tʃɑːns]
408,,16.0,can,v.,（ modal ）可能；能够；可以；不能,"[kæn , kən]"
409,,17.0,able,adj.,能够；有能力的,[ˈeɪbl]
410,,18.0,life,n.,生命；生涯；生活；人生；生物,[laɪf]
411,,19.0,save,v.,救，挽救；节省,[seɪv]
412,,20.0,safe,adj.,安全的,[seɪf]
413,*,22.0,risk,v.,冒险，风险,[rɪsk]
414,,23.0,danger,n.,危险,[ˈdeɪndʒə(r)]
415,,24.0,dangerous,adj.,危险的,[ˈdeɪndʒərəs]
416,,25.0,protect,v.,保护,[prəˈtekt]
417,*,26.0,prevent,v.,防止，预防,[prɪˈvent]
418,,27.0,avoid,v.,避免，躲开，逃避,[əˈvɔɪd]
419,*,28.0,ability,n.,能力；才能,[əˈbɪləti]
420,,29.0,alive,adj.,活着的，存在的,[əˈlaɪv]
421,,1.0,agree,v.,同意；应允,[əˈɡriː]
422,*,2.0,agreement,n.,同意，一致；协定；协议,[əˈɡriːmənt]
423,,3.0,accept,v.,接受,[əkˈsept]
424,,4.0,allow,v.,允许，准许,[əˈlaʊ]
425,,5.0,OK,adv.,(口语)好，对，不错,[əʊˈkeɪ]
